ÈÕÆÚ,sale_cnt,price
2014/7/23,500,120
2014/7/29,2000,118
2014/7/30,30000,110
2014/8/5,1400,113
2014/8/7,2000,117
2014/8/8,6000,117
2014/8/20,29000,117
2014/8/29,2000,110
2014/9/2,65000,117.1111111
2014/9/3,3000,118
2014/9/4,11000,117
2014/9/5,7000,117
2014/9/9,4000,118
2014/9/10,21000,117.5
2014/9/11,20000,117
2014/9/12,2000,118
2014/9/16,15000,117
2014/9/17,20000,115
2014/9/19,43000,118
2014/9/25,11000,120
2014/9/26,32000,119
2014/10/8,39000,124.1666667
2014/10/9,38000,124
2014/10/11,5000,125
2014/10/13,1000,125
2014/10/14,22000,130
2014/10/16,15000,126
2014/10/17,21500,129
2014/10/20,10000,130
2014/10/21,20000,130
2014/10/22,6000,132
2014/10/24,10000,135
2014/10/27,1000,140
2014/12/2,25000,142.3333333
2014/12/3,15000,145
2014/12/8,500,140
2014/12/23,3000,123
2014/12/24,1000,123
2014/12/25,25000,120
2014/12/30,5000,120
2015/1/12,2000,120
2015/1/13,2000,118
2015/1/14,3000,120
2015/1/15,500,122
2015/1/21,5000,120
2015/1/22,4000,121
2015/1/26,5000,120
2015/2/2,20000,120
2015/2/6,15000,120
2015/2/9,20000,120
2015/2/26,5000,120
2015/3/3,5000,120
2015/3/4,29000,120.75
2015/3/5,11000,120
2015/3/6,1000,120
2015/3/9,50000,108.95
2015/3/11,6500,120
2015/3/16,12000,119.3333333
2015/3/17,10000,118
2015/3/18,51000,115.75
2015/3/19,3000,119
2015/3/20,15000,118
2015/3/24,40000,117.5
2015/3/25,3000,118
2015/3/26,117000,114.61625
2015/3/27,5000,118
2015/3/30,77000,117.0545455
2015/3/31,50600,116.6
2015/4/1,15000,118
2015/4/2,16000,118
2015/4/3,6500,116.5
2015/4/5,3000,118
2015/4/7,51000,117.8333333
2015/4/8,12000,118
2015/4/14,1000,118
2015/4/15,3000,118
2015/4/16,30000,118
2015/4/25,3000,118
2015/4/27,4000,118
2015/4/28,200,122
2015/4/29,10000,118
2015/5/13,3000,118
2015/5/14,20000,118
2015/5/18,15000,118
2015/5/19,35000,119
2015/5/20,63000,117.25
2015/5/25,20000,113
2015/5/27,4500,119
2015/6/3,1000,118
2015/6/4,2000,118
2015/6/9,6500,118.3333333
2015/6/26,5000,118
2015/9/17,30000,180
2015/9/18,10000,180
2015/9/22,2000,180
2015/9/23,1000,180
2015/9/25,27000,180
2015/9/28,15000,180
2015/9/29,20000,180
2015/9/30,5000,180
2015/10/8,8000,180
2015/10/9,15000,180
2015/10/19,5100,182.5
2015/10/26,5000,180
2015/10/29,10000,180
2015/11/30,10000,200
2015/12/2,30000,220
2015/12/3,3000,220
2015/12/8,10000,220
2015/12/17,14000,220
2015/12/18,12000,220
2015/12/21,2000,220
2015/12/22,4000,220
2015/12/23,35000,220
2015/12/24,10000,220
2015/12/25,17000,220
2015/12/28,1000,220
2015/12/29,7000,207.5
2016/1/6,5000,220
2016/1/7,5000,210
2016/1/14,18000,220
2016/1/22,5000,210
2016/1/25,10000,220
2016/1/29,5000,240
2016/2/16,17000,228
2016/2/17,17000,240
2016/2/19,4000,195
2016/2/22,3000,240
2016/2/25,5000,240
2016/3/1,4000,240
2016/3/3,12000,243.3333333
2016/3/4,14000,240
2016/3/7,7000,260
2016/3/8,5000,260
2016/3/9,12000,260
2016/3/10,4000,260
2016/3/11,3000,260
2016/3/14,2000,260
2016/3/17,3000,260
2016/3/23,1000,260
2016/4/1,12000,260
2016/4/12,11000,273.3333333
2016/4/14,4000,280
2016/4/20,6000,235
2016/4/27,5000,280
2016/4/29,440,260
2016/5/9,2000,280
2016/5/12,4000,260
2016/5/13,9000,260
2016/5/15,2000,280
2016/5/18,15200,254
2016/5/19,8000,260
2016/5/20,1000,280
2016/5/30,80,280
2016/5/31,3000,280
2016/6/7,10000,260
2016/6/16,4000,240
2016/6/24,2000,260
2016/6/28,10000,260
2016/6/29,5000,260
2016/6/30,7000,250
2016/7/11,20000,261.25
2016/7/12,100,280
2016/7/14,6000,255
2016/7/18,5000,260
2016/7/19,10000,260
2016/7/20,19000,280
2016/7/25,1000,280
2016/7/26,2000,280
2016/7/28,2000,280
2016/7/29,2000,240
2016/8/15,16000,253.3333333
2016/8/16,2000,280
2016/8/30,13000,280
2016/8/31,300,245
2016/9/9,25000,243.3333333
2016/9/13,2000,280
2016/9/19,7000,260
2016/9/22,18000,270
2016/9/23,12000,250
2016/9/27,20000,258
2016/9/29,7000,260
2016/9/30,3000,260
2016/10/8,5000,240
2016/10/10,20000,248
2016/10/11,8000,240
2016/10/12,6920,283.3333333
2016/10/13,2000,280
2016/10/14,10000,300
2016/10/18,4000,240
2016/10/21,36000,258
2016/10/24,1000,300
2016/10/28,3000,300
2016/11/1,15000,280
2016/11/2,2260,290
2016/11/9,10000,280
2016/11/15,4000,240
2016/11/29,5000,280
2016/11/30,3000,280
2016/12/7,10000,280
2016/12/9,4000,240
2016/12/19,12000,280
2016/12/20,18000,272
2016/12/21,6000,252.5
2016/12/23,5000,280
2016/12/26,1000,280
2016/12/28,2000,280
2017/1/5,1000,240
2017/1/6,1000,270
2017/1/11,2000,260
2017/1/19,200,270
2017/2/6,2000,240
2017/2/7,8000,240
2017/2/8,11000,240
2017/2/13,1000,240
2017/2/15,2000,240
2017/2/17,1000,240
2017/2/20,2000,240
2017/2/27,1000,220
2017/2/28,500,220
2017/3/2,1800,217.5
2017/3/3,7000,208.3333333
2017/3/6,7000,210
2017/3/7,3000,208.3333333
2017/3/8,4500,206.6666667
2017/3/9,3600,212.5
2017/3/10,3000,205
2017/3/15,1000,215
2017/3/16,1000,215
2017/3/20,2500,210
2017/3/21,10000,195.5
2017/3/22,4000,200
2017/3/23,1000,197.5
2017/3/24,2280,205
2017/3/31,4300,181.6666667
2017/4/1,3400,184.35
2017/4/5,16800,180
2017/4/7,1000,180
2017/4/8,5000,170
2017/4/11,1000,175
2017/4/13,500,175
2017/4/14,4000,165
2017/4/20,1000,170
2017/4/21,3500,169.3333333
2017/4/24,20000,162.4
2017/4/28,7000,161.6666667
2017/4/30,8000,157.5
2017/5/2,2000,160
2017/5/3,5000,160
2017/5/4,1000,162
2017/5/5,12000,159.6666667
2017/5/10,2000,158
2017/5/11,2000,160
2017/5/16,1000,160
2017/5/19,1500,165
2017/5/22,6000,147.5
2017/5/25,100,170
2017/5/26,2000,155
2017/5/27,2000,150
2017/5/31,6000,150
2017/6/1,17500,153
2017/6/2,2200,153
2017/6/5,4000,150
2017/6/6,12500,155
2017/6/7,16000,149.3333333
2017/6/9,3000,150
2017/6/12,22000,149.5
2017/6/13,5500,150
2017/6/14,29000,149.7777778
2017/6/15,25000,146.5
2017/6/16,9000,150
2017/6/19,29000,149.1666667
2017/6/20,7000,150
2017/6/23,3000,150
2017/6/29,1180,150
2017/7/4,43500,151.0526316
2017/7/5,10000,150
2017/7/7,5000,150
2017/7/11,2000,170
2017/7/14,10000,160
2017/7/20,10000,150
2017/7/24,38500,180
2017/7/26,4000,180
2017/7/27,13500,180
2017/7/28,39500,179.4736842
2017/7/31,2500,180
2017/8/2,300,185
2017/8/3,10000,195
2017/8/7,8000,175
2017/8/9,34000,216.6666667
2017/8/10,12000,226.6666667
2017/8/22,20000,240
2017/8/24,16000,200
2017/8/29,13000,260
2017/8/30,2000,260
2017/9/1,2000,220
2017/9/4,10000,260
2017/9/7,4000,220
2017/9/12,5000,275
2017/9/15,500,260
2017/9/18,15000,280
2017/9/20,27500,416.6666667
2017/9/21,2000,410
2017/9/22,4000,416.6666667
2017/9/26,2000,380
2017/9/28,6000,410
2017/10/11,9000,420
2017/10/13,5000,268
2017/10/19,58000,385.7142857
2017/10/20,22000,392.8571429
2017/10/23,8000,420
2017/10/24,5000,420
2017/10/27,29000,416.6666667
2017/10/30,4000,410
2017/10/31,10000,420
2017/11/3,60,450
2017/11/7,5000,420
2017/11/9,500,420
2017/11/10,5000,420
2017/11/13,9000,390
2017/11/17,2000,360
2017/11/20,33500,407.2222222
2017/11/21,17000,420
2017/11/24,15500,420
2017/11/28,10000,420
2017/11/29,7000,440
2017/12/5,10000,390
2017/12/6,17000,411.6666667
2017/12/7,14000,450
2017/12/12,2000,460
2017/12/14,4000,450
2017/12/15,4000,460
2017/12/18,5000,440
2017/12/19,4000,410
2017/12/20,2000,460
2017/12/22,10000,460
2017/12/27,2000,420
2018/1/2,800,280
2018/1/25,4000,420
2018/1/31,1000,460
2018/3/13,10000,402
2018/3/16,1000,420
2018/4/4,1000,350
2018/4/9,1000,300
2018/4/11,5000,310
2018/4/13,300,310
2018/4/20,2000,235
2018/4/23,3000,226.6666667
2018/4/24,3500,232.6666667
2018/4/26,4000,190
2018/4/27,7000,170
2018/4/28,5000,200
2018/5/2,500,180
2018/5/3,800,180
2018/5/4,2000,150
2018/5/7,22000,125
2018/5/8,2500,150
2018/5/9,1500,160
2018/5/14,7000,124
2018/5/15,500,130
2018/5/16,3000,119
2018/5/17,1000,120
2018/5/18,8000,112.5
2018/5/21,45500,113.875
2018/5/22,84300,113.7692308
2018/5/23,66500,113.0769231
2018/5/24,23000,113.3333333
2018/5/25,193000,111.6666667
2018/5/28,66000,112.9090909
2018/5/29,116600,115.25
2018/5/30,36000,113.2857143
2018/5/31,43000,134.5714286
2018/6/1,7000,116
2018/6/4,18000,116.5
2018/6/5,20000,120.6666667
2018/6/6,28000,120.1666667
2018/6/7,3000,115
2018/6/14,5000,120
2018/6/15,20000,100
2018/7/13,20000,152.5
2018/7/16,10000,150
2018/7/25,300,160
2018/7/26,2000,160
2018/8/3,10000,160
2018/9/6,3000,148
2018/9/10,300,160
2018/9/18,10000,135
2018/9/19,5000,135
2018/9/21,10000,150
2018/9/25,15000,150
2018/9/26,10000,135
2018/9/27,10000,150
2018/10/18,25000,158
2018/10/24,6000,160
2018/10/25,4000,180
2018/10/26,89000,169.8461538
2018/11/5,1000,180
2018/11/12,20000,180
2018/11/23,10000,175
2018/11/29,5000,175
2018/12/14,10000,190
2019/2/25,5000,130
2019/3/4,760,135
2019/3/6,5000,125
2019/3/7,5000,125
2019/3/8,22000,125
2019/3/11,60000,123.3333333
2019/3/12,22000,125
2019/3/13,42000,113.3333333
2019/3/14,57000,125.0769231
2019/3/15,39000,125
2019/3/19,13000,125
2019/3/20,5000,125
2019/4/12,40000,130
2019/4/19,10000,130
2019/4/28,5000,130
2019/5/6,11000,130.5
2019/5/7,2000,130
2019/5/9,10000,130
2019/5/10,5000,130
2019/5/13,19000,130.3333333
2019/5/14,5000,130
2019/5/21,500,132
2019/6/25,17000,125
2019/6/27,10000,125
2019/6/28,6000,125
2019/7/2,1000,125
2019/7/4,5000,125
2019/7/22,10000,115
2019/7/26,3000,115
2019/7/29,1000,115
2019/7/30,1000,116
2019/7/31,7000,105
2019/8/1,59000,105
2019/8/2,36000,105
2019/8/5,23000,105
2019/8/8,2000,105
2019/8/12,2000,105
2019/8/16,1000,105
2019/8/20,25000,105
2019/8/21,16000,105
2019/8/29,5000,105
2019/8/30,2100,107.5
2019/9/2,20000,105
2019/9/3,13000,105
2019/9/5,500,120
2019/9/19,1500,105
2019/9/23,16000,105
2019/10/8,10000,105
2019/10/11,1000,105
2019/10/12,2000,105
2019/10/14,15000,105
2019/10/16,500,105
2019/10/23,3000,105
2019/10/28,110000,95.66666667
2019/10/29,117000,98
2019/10/30,35000,97
2019/10/31,28000,97.33333333
2019/11/1,1000,98
2019/11/5,22000,96.5
2019/11/7,15500,96.25
2019/11/11,5000,95
2019/11/12,60,105
2019/11/13,1320,98
2019/11/14,1000,98
2019/11/15,1000,97
2019/11/18,31500,97
2019/11/19,3000,96
2019/11/20,5000,95
2019/11/21,4000,97
2019/11/22,47000,95.5
2019/11/25,17500,96.66666667
2019/11/26,45000,95.33333333
2019/11/28,15000,95
2019/11/29,7000,96
2019/12/2,33000,95.28571429
2019/12/3,14000,95.25
2019/12/4,23000,95.5
2019/12/5,14000,95
2019/12/6,30000,95.6
2019/12/9,25000,95
2019/12/12,24000,95
2019/12/13,1000,95
2019/12/16,17000,95.33333333
2019/12/17,3500,95
2019/12/19,2000,95
2019/12/20,20000,95
2019/12/23,31000,95
2019/12/25,18000,95.25
2019/12/27,10000,95
2019/12/30,8000,95
2020/1/6,10000,95
2020/1/7,3000,95
2020/1/9,3000,95
2020/1/14,15000,95
2020/1/16,21000,95
2020/1/18,10000,95
2020/2/3,15000,95
2020/2/5,5000,95
2020/2/6,10000,95
2020/2/8,5000,96
2020/2/10,70000,95
2020/2/17,2000,95
2020/2/18,12000,95.33333333
2020/2/19,66000,95.91666667
2020/2/20,24000,95
2020/2/21,10000,96
2020/2/24,10000,95
2020/2/25,10000,95.5
2020/2/26,16000,95.85714286
2020/2/27,500,96
2020/4/10,70000,105.25
2020/4/13,68000,104
2020/4/14,2000,105
2020/4/15,10000,110
2020/4/20,20000,110
2020/4/26,5000,110
2020/4/27,5000,110
2020/5/19,5000,110
2020/5/26,1500,110
2020/6/15,22100,106.6666667
2020/6/16,7000,110
2020/8/11,10000,100
2020/8/12,5000,102
2020/8/13,8000,100
2020/8/14,2000,100
2020/8/24,20000,100
2020/8/26,8000,100
2020/8/27,2000,100
2020/8/31,6000,96
2020/9/3,25000,96.25
2020/9/4,2000,95
2020/9/22,1500,95
2020/9/25,10000,87
2020/10/19,20000,87
2020/11/2,14000,84.33333333
2020/11/3,30000,85
2020/11/6,9000,83
